,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
54,BBC,2018-01-15 08:01:01,55,0.0,0.0,0.0,1.0,"Sunday vibes on a #MondayMorning... ?

#BigCats https://t.co/K2rRMTFU5S","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
55,BBC,2018-01-15 07:38:04,56,0.4215,0.135,0.0,0.865,"?? King of the collectors. 

A new exhibition brings the treasures amassed by Charles I together again for the firs… https://t.co/FN6i566H5e","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
56,BBC,2018-01-14 20:15:03,57,0.0,0.0,0.0,1.0,Britain is the only place in the world with a medieval Coronation ceremony. ?? #TheCoronation https://t.co/WJfENrXnu3,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
57,BBC,2018-01-14 20:00:09,58,-0.079,0.128,0.142,0.731,"Long nights, snowshoes and a broken down boat... 

??? This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
58,BBC,2018-01-14 19:30:08,59,-0.2023,0.141,0.182,0.677,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
59,BBC,2018-01-14 19:00:07,60,0.0772,0.214,0.188,0.598,"No sympathy from the camera operator at all. ?
https://t.co/cQF64ofzMz","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
60,BBC,2018-01-14 18:33:04,61,0.296,0.109,0.0,0.891,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. ?

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
61,BBC,2018-01-14 18:00:06,62,-0.0772,0.0,0.098,0.902,??? Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
62,BBC,2018-01-14 17:30:08,63,0.9423,0.623,0.0,0.377,"Rusty spotted cats are super rare, super small and super adorable. ?

#BigCats https://t.co/PgIC5WfdaJ","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
63,BBC,2018-01-14 17:02:03,64,0.2003,0.095,0.0,0.905,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! ??

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
64,BBC,2018-01-14 16:30:09,65,-0.4767,0.0,0.162,0.838,"? @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
65,BBC,2018-01-14 16:00:06,66,0.0,0.0,0.0,1.0,"In Greenland, you can find a shark that could live for hundreds of years. ?? https://t.co/kc08HclHef","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
66,BBC,2018-01-14 15:00:10,67,-0.1027,0.095,0.116,0.789,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
67,BBC,2018-01-14 14:00:04,68,0.0,0.0,0.0,1.0,"While parts of the US &amp; Canada felt as cold as -67C recently, Australia is experiencing its hottest weather in 79 y… https://t.co/mtrZUhzthy","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
68,BBC,2018-01-14 13:26:03,69,0.7264,0.321,0.0,0.679,"? Thrillers, comedy and foreign drama.

? @BBC_Culture rounds up the most exciting programmes on the small screen o… https://t.co/DpxgDUIyij","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
69,BBC,2018-01-14 13:03:04,70,0.5093,0.141,0.0,0.859,"Nominations for the BBC Food and Farming Awards 2018 are now open! ??

If there’s a producer, cook, retailer or ini… https://t.co/mkDAtLcc3R","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
70,BBC,2018-01-14 12:30:07,71,-0.765,0.0,0.306,0.694,YouTube has decided to cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/rzGMXlKv0s,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
71,BBC,2018-01-14 12:00:07,72,0.0,0.0,0.0,1.0,"Ever wondered how mayonnaise is made? 

Take a peek #InsideTheFactory. https://t.co/laIJyyTO5Q","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
72,BBC,2018-01-14 11:30:09,73,-0.3612,0.0,0.217,0.783,Snow has fallen in the Sahara desert. ?? https://t.co/804PRapagA https://t.co/g3lQIY7l9O,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
73,BBC,2018-01-14 11:18:04,74,0.8803,0.338,0.0,0.662,"RT @bbcmusic: Happy Birthday Dave Grohl! ???

HOW GREAT was the @FooFighters AC/DC cover in @BBCR1's Live Lounge??
Watch ? https://t.co/4lk…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
74,BBC,2018-01-14 11:03:03,75,0.3612,0.161,0.0,0.839,??? Here's what the weather looked like around the world this week. ?  https://t.co/TTYG5JmFJ1 https://t.co/l9vs9T9J9A,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
75,BBC,2018-01-14 10:42:37,76,0.8113,0.401,0.0,0.599,"RT @BBCRadio4: ? Let this joyous birdsong ease you into your Sunday morning...
https://t.co/t8HCfaDl7X","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
76,BBC,2018-01-14 10:30:08,77,-0.6486,0.0,0.249,0.751,"The world has entered a new era of conflict – offensive cyber-attacks aimed at infrastructure and society, all done… https://t.co/Z63a1IY29o","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
77,BBC,2018-01-14 10:09:01,78,0.5719,0.252,0.0,0.748,Here's the moment @ThisIsSigrid found out she'd won @BBCMusic's #SoundOf2018. ?? https://t.co/3Rc2K6dwMS,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
78,BBC,2018-01-14 09:47:01,79,0.0,0.0,0.0,1.0,"Fancy a game of punchball, anyone?! #TheGNShow ? https://t.co/ZVKfXsNmqf","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
79,BBC,2018-01-14 09:38:16,80,0.0,0.0,0.0,1.0,RT @BBCSpringwatch: Who's been visiting your garden this winter? https://t.co/Tn7VwADqMZ https://t.co/MjSNAC8E4D,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
80,BBC,2018-01-14 09:17:02,81,0.6705,0.44,0.0,0.56,Ready to bounce back after the festive season? https://t.co/4w9fbd628g,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
81,BBC,2018-01-14 09:11:08,82,0.7469,0.239,0.0,0.761,"RT @bbcgetinspired: Keith Lynch was told he might never walk again - but now he's a champion climber.

? https://t.co/u9Q8KeuwJd #GetInspir…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
82,BBC,2018-01-14 08:30:05,83,-0.3612,0.0,0.135,0.865,Unleash your inner sloth &amp; discover why being lazy could actually be the ultimate evolutionary strategy.… https://t.co/HhrOt8wfHV,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
83,BBC,2018-01-14 08:00:02,84,-0.6705,0.0,0.244,0.756,More than half a million tonnes of plastic and other untreated waste is dumped into the Ganges each year. https://t.co/fqsGo3x3F9,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
84,BBC,2018-01-13 19:30:06,85,0.4215,0.286,0.0,0.714,"Saved by the whale ????

Via @BBCNews https://t.co/qHPJvDmmit","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
85,BBC,2018-01-13 19:03:03,86,0.5106,0.155,0.0,0.845,Go behind-the-scenes with @Madonna as she travels the world to perform her new hits and beloved classics. ? ? ?… https://t.co/RsgmHhA1m7,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
86,BBC,2018-01-13 18:30:03,87,-0.6597,0.0,0.231,0.769,"Has a fear of flying shrunk your world? ???

Here are three tips for anyone worried about getting on a plane. https://t.co/hLIyaAseXB","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
87,BBC,2018-01-13 18:00:09,88,-0.5095,0.0,0.141,0.859,"London's Marylebone Road &amp; Hyde Park Corner have the most polluted postcodes in Britain. ??

How does your area mea… https://t.co/86YDrw6bLy","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
88,BBC,2018-01-13 17:30:07,89,0.4939,0.138,0.0,0.862,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/FpBTlGZaQe","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
89,BBC,2018-01-13 17:02:01,90,-0.3182,0.146,0.157,0.697,Jack has just reached the UK after being rescued from a dog meat farm in South Korea where 2.5m dogs are killed eve… https://t.co/T5IzeUxMEf,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
90,BBC,2018-01-13 16:30:06,91,0.2869,0.126,0.0,0.874,"What am I? ? 

Know the answer? See if you can solve these other riddles. ? https://t.co/EpDXFLZv93 https://t.co/gMh31MVl5K","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
91,BBC,2018-01-13 16:00:15,92,0.0,0.0,0.0,1.0,???? @BBC_Travel gives us 50 reasons to #LoveTheWorld. ? https://t.co/DUCHRV07yR https://t.co/UQp3h6sHf2,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
92,BBC,2018-01-13 15:30:05,93,0.0,0.0,0.0,1.0,"? Italian-style tart with a lemon and cinnamon custard topped with lemony pastry. ??

See the @HairyBikers' Torta m… https://t.co/iXhVPCyiLG","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
93,BBC,2018-01-13 15:22:58,94,0.0,0.0,0.0,1.0,"RT @BBCR1: Just waiting on that @NiallOfficial and @ShawnMendes collab now ??

https://t.co/WrwoCwK5At","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
94,BBC,2018-01-13 15:00:03,95,0.6113,0.266,0.0,0.734,Why are ultra-Orthodox Jewish families so impressed with the Essex seaside? https://t.co/tP0BolKFPz,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
95,BBC,2018-01-13 14:00:08,96,0.6369,0.206,0.0,0.794,?? The diverse &amp; exciting cheeses of the world wouldn't exist if humans hadn't learned how to take advantage of mic… https://t.co/lW4LIm5MB6,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
96,BBC,2018-01-13 13:30:06,97,0.2263,0.129,0.088,0.783,"? The astonishing true story of the first reigning queen of England.

England's Forgotten Queen: The Life and Death… https://t.co/oDz4dZZvY4","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
97,BBC,2018-01-13 13:03:07,98,0.4939,0.138,0.0,0.862,Take a look at these incredible photos of snow and ice sculptures at the Harbin Ice and Snow Sculpture festival. ?… https://t.co/ywjmdXZWa5,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
98,BBC,2018-01-13 12:31:04,99,0.0,0.0,0.0,1.0,Were you a regular at the cinema in 2017? Test your knowledge of the year’s biggest films ? ?… https://t.co/Da6bBxe7On,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
